GeneSymbol	Marker	ImmunePhenotype	Function	JAX_Description	OmniSeq_Description	Entrez_Description	GeneCards_Description	UniProt_Description
CD28	CD28	T-cell Primed	Co-stimulatory	"CD28, T-cell-specific surface glycoprotein CD28, is a co-stimulatory molecule constitutively expressed on T-cells and competes with the co-inhibitory molecule, CTLA4, for binding to CD80 and CD86 (PMID: 28102259) and also promotes IL2 production and T-cell survival through upregulation of BCL2L1 (BCL-XL) (PMID: 30565239). Activation of CD28 is a currently under investigation for immunotherapy in cancer (PMID: 29783736)."	"CD28, T-cell-specific surface glycoprotein CD28, is a co-stimulatory molecule constitutively expressed on T-cells and competes with the co-inhibitory molecule, CTLA4, for binding to CD80 and CD86 (PMID: 28102259) and also promotes IL2 production and T-cell survival through upregulation of BCL2L1 (BCL-XL) (PMID: 30565239). "	"The protein encoded by this gene is essential for T-cell proliferation and survival, cytokine production, and T-helper type-2 development. Several alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Jul 2011]"	CD28 (CD28 Molecule) is a Protein Coding gene. Diseases associated with CD28 include Mycosis Fungoides and Sezary's Disease. Among its related pathways are Th1 Differentiation Pathway and Downstream signaling events of B Cell Receptor (BCR). Gene Ontology (GO) annotations related to this gene include identical protein binding and SH3/SH2 adaptor activity. An important paralog of this gene is CTLA4.	"Involved in T-cell activation, the induction of cell proliferation and cytokine production and promotion of T-cell survival. Enhances the production of IL4 and IL10 in T-cells in conjunction with TCR/CD3 ligation and CD40L costimulation (PubMed:8617933). Isoform 3 enhances CD40L-mediated activation of NF-kappa-B and kinases MAPK8 and PAK2 in T-cells (PubMed:15067037)."
CD3E	CD3		Cytotoxic T-cells/T-regs		CD3 chains make up the T-cell antigen receptor complex that transmits signals received from antigen-presenting cells (PMID: 26507128). CD3e is required in both types of T-cell antigen receptor complexes and plays a central role in CD3 core assembly and full complex expression (PMID:8490660)	"The protein encoded by this gene is the CD3-epsilon polypeptide, which together with CD3-gamma, -delta and -zeta, and the T-cell receptor alpha/beta and gamma/delta heterodimers, forms the T-cell receptor-CD3 complex. This complex plays an important role in coupling antigen recognition to several intracellular signal-transduction pathways. The genes encoding the epsilon, gamma and delta polypeptides are located in the same cluster on chromosome 11. The epsilon polypeptide plays an essential role in T-cell development. Defects in this gene cause immunodeficiency. This gene has also been linked to a susceptibility to type I diabetes in women. [provided by RefSeq, Jul 2008]"	CD3E (CD3e Molecule) is a Protein Coding gene. Diseases associated with CD3E include Immunodeficiency 18 and T-B+ Severe Combined Immunodeficiency Due To Cd3delta/Cd3epsilon/Cd3zeta. Among its related pathways are Th1 Differentiation Pathway and Hematopoietic cell lineage. Gene Ontology (GO) annotations related to this gene include protein heterodimerization activity and obsolete signal transducer activity. An important paralog of this gene is CD3G.	"Part of the TCR-CD3 complex present on T-lymphocyte cell surface that plays an essential role in adaptive immune response. When antigen presenting cells (APCs) activate T-cell receptor (TCR), TCR-mediated signals are transmitted across the cell membrane by the CD3 chains CD3D, CD3E, CD3G and CD3Z. All CD3 chains contain immunoreceptor tyrosine-based activation motifs (ITAMs) in their cytoplasmic domain. Upon TCR engagement, these motifs become phosphorylated by Src family protein tyrosine kinases LCK and FYN, resulting in the activation of downstream signaling pathways (PubMed:2470098). In addition of this role of signal transduction in T-cell activation, CD3E plays an essential role in correct T-cell development. Initiates the TCR-CD3 complex assembly by forming the two heterodimers CD3D/CD3E and CD3G/CD3E. Participates also in internalization and cell surface down-regulation of TCR-CD3 complexes via endocytosis sequences present in CD3E cytosolic region (PubMed:10384095, PubMed:26507128). "
CD3D	CD3		Cytotoxic T-cells/T-regs		CD3 chains make up the T-cell antigen receptor complex that transmits signals received from antigen-presenting cells (PMID: 26507128). CD3d is not required for pre-TCR signalling (PMID: 12215456) but plays an essential role for promoting progression of early thymocytes towards double positive stage (PMID:15546002)	"The protein encoded by this gene is part of the T-cell receptor/CD3 complex (TCR/CD3 complex) and is involved in T-cell development and signal transduction. The encoded membrane protein represents the delta subunit of the CD3 complex, and along with four other CD3 subunits, binds either TCR alpha/beta or TCR gamma/delta to form the TCR/CD3 complex on the surface of T-cells. Defects in this gene are a cause of severe combined immunodeficiency autosomal recessive T-cell-negative/B-cell-positive/NK-cell-positive (SCIDBNK). Two transcript variants encoding different isoforms have been found for this gene. Other variants may also exist, but the full-length natures of their transcripts has yet to be defined. [provided by RefSeq, Feb 2009]"	CD3D (CD3d Molecule) is a Protein Coding gene. Diseases associated with CD3D include Immunodeficiency 19 and T-B+ Severe Combined Immunodeficiency Due To Cd3delta/Cd3epsilon/Cd3zeta. Among its related pathways are Hematopoietic cell lineage and ERK Signaling. Gene Ontology (GO) annotations related to this gene include protein heterodimerization activity and transmembrane signaling receptor activity. An important paralog of this gene is CD3G.	"Part of the TCR-CD3 complex present on T-lymphocyte cell surface that plays an essential role in adaptive immune response. When antigen presenting cells (APCs) activate T-cell receptor (TCR), TCR-mediated signals are transmitted across the cell membrane by the CD3 chains CD3D, CD3E, CD3G and CD3Z. All CD3 chains contain immunoreceptor tyrosine-based activation motifs (ITAMs) in their cytoplasmic domain. Upon TCR engagement, these motifs become phosphorylated by Src family protein tyrosine kinases LCK and FYN, resulting in the activation of downstream signaling pathways (PubMed:2470098). In addition of this role of signal transduction in T-cell activation, CD3D plays an essential role in thymocyte differentiation. Indeed, participates in correct intracellular TCR-CD3 complex assembly and surface expression. In absence of a functional TCR-CD3 complex, thymocytes are unable to differentiate properly. Interacts with CD4 and CD8 and thus serves to establish a functional link between the TCR and coreceptors CD4 and CD8, which is needed for activation and positive selection of CD4 or CD8 T-cells(PubMed:12215456). "
CD3G	CD3	Tumor Infiltrating Lymphocytes (TILs)	Cytotoxic T-cells/T-regs		CD3 chains make up the T-cell antigen receptor complex that transmits signals received from antigen-presenting cells (PMID: 26507128). CD3g plays a role in the regulation to TCR expression at the cell surface that is dependent on its  di-leucine-based (diL) receptor-sorting motif (PMID:8187769)	"The protein encoded by this gene is the CD3-gamma polypeptide, which together with CD3-epsilon, -delta and -zeta, and the T-cell receptor alpha/beta and gamma/delta heterodimers, forms the T-cell receptor-CD3 complex. This complex plays an important role in coupling antigen recognition to several intracellular signal-transduction pathways. The genes encoding the epsilon, gamma and delta polypeptides are located in the same cluster on chromosome 11. Defects in this gene are associated with T cell immunodeficiency. [provided by RefSeq, Jul 2008]"	CD3G (CD3g Molecule) is a Protein Coding gene. Diseases associated with CD3G include Immunodeficiency 17 and Immunodeficiency 19. Among its related pathways are Hematopoietic cell lineage and ERK Signaling. Gene Ontology (GO) annotations related to this gene include protein heterodimerization activity and receptor signaling complex scaffold activity. An important paralog of this gene is CD3D.	"Part of the TCR-CD3 complex present on T-lymphocyte cell surface that plays an essential role in adaptive immune response. When antigen presenting cells (APCs) activate T-cell receptor (TCR), TCR-mediated signals are transmitted across the cell membrane by the CD3 chains CD3D, CD3E, CD3G and CD3Z. All CD3 chains contain immunoreceptor tyrosine-based activation motifs (ITAMs) in their cytoplasmic domain. Upon TCR engagement, these motifs become phosphorylated by Src family protein tyrosine kinases LCK and FYN, resulting in the activation of downstream signaling pathways (PubMed:2470098). In addition to this role of signal transduction in T-cell activation, CD3G plays an essential role in the dynamic regulation of TCR expression at the cell surface (PubMed:8187769). Indeed, constitutive TCR cycling is dependent on the di-leucine-based (diL) receptor-sorting motif present in CD3G. CD3G_HUMAN,P09693"
CD38	CD38	Other Immunotherapy Markers	Immunostimulatory	"CD38, ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1, is a glycoprotein that binds CD31 and is also an ectoenzyme involved in the metabolism of nicotinamide (PMID: 29118010, PMID: 30546360). CD38 is highly expressed on multiple myeloma cells and serves as a target for anti-CD38 antibody therapy (PMID: 29118010, PMID: 30546360) and CD38 overexpression may contribute to resistance to PD-1 (PDCD1)/PD-L1 (CD274) therapies (PMID: 30012853)."	"CD38, ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1, is a glycoprotein that binds CD31 and is also an ectoenzyme involved in the metabolism of nicotinamide (PMID: 29118010, PMID: 30546360). CD38 overexpression may contribute to resistance to PD-1 (PDCD1)/PD-L1 (CD274) therapies (PMID: 30012853)."	"The protein encoded by this gene is a non-lineage-restricted, type II transmembrane glycoprotein that synthesizes and hydrolyzes cyclic adenosine 5'-diphosphate-ribose, an intracellular calcium ion mobilizing messenger. The release of soluble protein and the ability of membrane-bound protein to become internalized indicate both extracellular and intracellular functions for the protein. This protein has an N-terminal cytoplasmic tail, a single membrane-spanning domain, and a C-terminal extracellular region with four N-glycosylation sites. Crystal structure analysis demonstrates that the functional molecule is a dimer, with the central portion containing the catalytic site. It is used as a prognostic marker for patients with chronic lymphocytic leukemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]"	"CD38 (CD38 Molecule) is a Protein Coding gene. Diseases associated with CD38 include Lymphocytic Leukemia and Richter's Syndrome. Among its related pathways are Oxytocin signaling pathway and Hematopoietic cell lineage. Gene Ontology (GO) annotations related to this gene include transferase activity and hydrolase activity, acting on glycosyl bonds. An important paralog of this gene is BST1."	"Synthesizes the second messengers cyclic ADP-ribose and nicotinate-adenine dinucleotide phosphate, the former a second messenger for glucose-induced insulin secretion. Also has cADPr hydrolase activity. Also moonlights as a receptor in cells of the immune system."
CD4	CD4	Tumor Infiltrating Lymphocytes (TILs)	Cytotoxic T-cells/T-regs	"CD4, CD4 molecule, is a glycoprotein that recognizes MHC class II peptides on antigen-presenting cells, regulates activation of T-lymphocytes leading to proliferation and differentiation of effector T-cells, and plays a key role in adaptive immune response (PMID: 22474485, PMID: 8057386). CD4 expression is associated with poor survival in acute myeloid leukemia patients (PMID: 9436919)."	"CD4, CD4 molecule, is a glycoprotein that recognizes MHC class II peptides on antigen-presenting cells and is expressed on NK cells, macrophages, eosinophils, neutrophils, and CD8+ T cells (PMID: 16951326). CD4 regulates activation of T-lymphocytes leading to proliferation and differentiation of effector T-cells, and plays a key role in adaptive immune response (PMID: 22474485, PMID: 8057386)."	"This gene encodes a membrane glycoprotein of T lymphocytes that interacts with major histocompatibility complex class II antigenes and is also a receptor for the human immunodeficiency virus. This gene is expressed not only in T lymphocytes, but also in B cells, macrophages, and granulocytes. It is also expressed in specific regions of the brain. The protein functions to initiate or augment the early phase of T-cell activation, and may function as an important mediator of indirect neuronal damage in infectious and immune-mediated diseases of the central nervous system. Multiple alternatively spliced transcript variants encoding different isoforms have been identified in this gene. [provided by RefSeq, Aug 2010]"	CD4 (CD4 Molecule) is a Protein Coding gene. Diseases associated with CD4 include Okt4 Epitope Deficiency and Human Immunodeficiency Virus Infectious Disease. Among its related pathways are Th1 Differentiation Pathway and Hematopoietic cell lineage. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and enzyme binding.	"Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses. In T-cells, functions primarily as a coreceptor for MHC class II molecule:peptide complex. The antigens presented by class II peptides are derived from extracellular proteins while class I peptides are derived from cytosolic proteins. Interacts simultaneously with the T-cell receptor (TCR) and the MHC class II presented by antigen presenting cells (APCs). In turn, recruits the Src kinase LCK to the vicinity of the TCR-CD3 complex. LCK then initiates different intracellular signaling pathways by phosphorylating various substrates ultimately leading to lymphokine production, motility, adhesion and activation of T-helper cells. In other cells such as macrophages or NK cells, plays a role in differentiation/activation, cytokine expression and cell migration in a TCR/LCK-independent pathway. Participates in the development of T-helper cells in the thymus and triggers the differentiation of monocytes into functional mature macrophages. (Microbial infection) Primary receptor for human immunodeficiency virus-1 (HIV-1) (PubMed:2214026, PubMed:16331979, PubMed:9641677, PubMed:12089508). Down-regulated by HIV-1 Vpu (PubMed:17346169). Acts as a receptor for Human Herpes virus 7/HHV-7 (PubMed:7909607)."
CD40	CD40	T-cell Primed	Co-stimulatory	"CD40, CD40 molecule, encodes for a member of the tumor necrosis factor receptor family, which is expressed in a variety of cell types such as B cells, dendritic cells, monocytes, and platelets, and its signaling plays a role in multiple immune processes (PMID: 19426221). CD40 is expressed in many types of tumor cells, including breast, ovary, bladder, lung, colon, prostate, and melanoma (PMID: 11929824)."	"CD40, CD40 molecule, encodes for a member of the tumor necrosis factor receptor family, which is expressed in a variety of cell types such as B cells, dendritic cells, monocytes, and platelets, and its signaling plays a role in multiple immune processes (PMID: 19426221). CD40 binds to its ligand, CD40L, and its cross-talk is importantn for the development and proliferation of B-cells and Th17 cells (PMID: 30265161)"	"This gene is a member of the TNF-receptor superfamily. The encoded protein is a receptor on antigen-presenting cells of the immune system and is essential for mediating a broad variety of immune and inflammatory responses including T cell-dependent immunoglobulin class switching, memory B cell development, and germinal center formation. AT-hook transcription factor AKNA is reported to coordinately regulate the expression of this receptor and its ligand, which may be important for homotypic cell interactions. Adaptor protein TNFR2 interacts with this receptor and serves as a mediator of the signal transduction. The interaction of this receptor and its ligand is found to be necessary for amyloid-beta-induced microglial activation, and thus is thought to be an early event in Alzheimer disease pathogenesis. Mutations affecting this gene are the cause of autosomal recessive hyper-IgM immunodeficiency type 3 (HIGM3). Multiple alternatively spliced transcript variants of this gene encoding distinct isoforms have been reported. [provided by RefSeq, Nov 2014]"	"CD40 (CD40 Molecule) is a Protein Coding gene. Diseases associated with CD40 include Immunodeficiency With Hyper-Igm, Type 3 and Cd40 Ligand Deficiency. Among its related pathways are ERK Signaling and Toll-like Receptor Signaling Pathway. Gene Ontology (GO) annotations related to this gene include enzyme binding. An important paralog of this gene is TNFRSF1B."	"Receptor for TNFSF5/CD40LG (PubMed:31331973). Transduces TRAF6- and MAP3K8-mediated signals that activate ERK in macrophages and B cells, leading to induction of immunoglobulin secretion (By similarity)."
CD40LG	CD40LG	T-cell Primed	Co-stimulatory		"CD40LG, CD40 Ligand, is a type II transmembrane protein in which interaction with CD40 on B-cells triggers B-cell differentiation, maturation and apoptosis (PMID: 15067037). The CD40L-CD40 interaction is necessary for priming of Th1-T-cells by promiting cell matruation and cytokine production (PMID: 15067037; PMID: 8627184)"	"The protein encoded by this gene is expressed on the surface of T cells. It regulates B cell function by engaging CD40 on the B cell surface. A defect in this gene results in an inability to undergo immunoglobulin class switch and is associated with hyper-IgM syndrome. [provided by RefSeq, Jul 2008]"	"CD40LG (CD40 Ligand) is a Protein Coding gene. Diseases associated with CD40LG include Immunodeficiency With Hyper-Igm, Type 1 and Toxoplasmosis. Among its related pathways are ERK Signaling and IL4-mediated signaling events. Gene Ontology (GO) annotations related to this gene include cytokine activity and CD40 receptor binding. An important paralog of this gene is TNFSF11."	"Cytokine that acts as a ligand to CD40/TNFRSF5 (PubMed:1280226, PubMed:31331973). Costimulates T-cell proliferation and cytokine production (PubMed:8617933). Its cross-linking on T-cells generates a costimulatory signal which enhances the production of IL4 and IL10 in conjunction with the TCR/CD3 ligation and CD28 costimulation (PubMed:8617933). Induces the activation of NF-kappa-B (PubMed:15067037, PubMed:31331973). Induces the activation of kinases MAPK8 and PAK2 in T-cells (PubMed:15067037). Induces tyrosine phosphorylation of isoform 3 of CD28 (PubMed:15067037). Mediates B-cell proliferation in the absence of co-stimulus as well as IgE production in the presence of IL4 (By similarity). Involved in immunoglobulin class switching (By similarity). [CD40 ligand, soluble form]: Acts as a ligand for integrins, specifically ITGA5:ITGB1 and ITGAV:ITGB3; both integrins and the CD40 receptor are required for activation of CD40-CD40LG signaling, which have cell-type dependent effects, such as B-cell activation, NF-kappa-B signaling and anti-apoptotic signaling."
CD68	CD68	Myeloid Suppression	Immunosuppressive		"CD68 is a type I transmembrane glycoprotein that belongs to the lysosomal-associated membrane protein (lamp) family (PMID: 18405323). It has widely been used as a macrophage marker, however non-myeloid cells can also express CD68. It's location within endosomes suggests a role in peptide transport and antigen processing (PMID:27869795 )"	"This gene encodes a 110-kD transmembrane glycoprotein that is highly expressed by human monocytes and tissue macrophages. It is a member of the lysosomal/endosomal-associated membrane glycoprotein (LAMP) family. The protein primarily localizes to lysosomes and endosomes with a smaller fraction circulating to the cell surface. It is a type I integral membrane protein with a heavily glycosylated extracellular domain and binds to tissue- and organ-specific lectins or selectins. The protein is also a member of the scavenger receptor family. Scavenger receptors typically function to clear cellular debris, promote phagocytosis, and mediate the recruitment and activation of macrophages. Alternative splicing results in multiple transcripts encoding different isoforms. [provided by RefSeq, Jul 2008]"	CD68 (CD68 Molecule) is a Protein Coding gene. Diseases associated with CD68 include Granular Cell Tumor and Follicular Dendritic Cell Sarcoma. Among its related pathways are Innate Immune System and Hematopoietic Stem Cell Differentiation Pathways and Lineage-specific Markers. An important paralog of this gene is LAMP1.	"Could play a role in phagocytic activities of tissue macrophages, both in intracellular lysosomal metabolism and extracellular cell-cell and cell-pathogen interactions. Binds to tissue- and organ-specific lectins or selectins, allowing homing of macrophage subsets to particular sites. Rapid recirculation of CD68 from endosomes and lysosomes to the plasma membrane may allow macrophages to crawl over selectin-bearing substrates or other cells."
CD8A	CD8				"CD8 is encoded by two distinct genes, CD8α and CD8β, and is expressed on the surface of T cells primarily as a CD8αβ heterodimer (PMID:17145893) CD8α enhances responses instigated through the TCR by binding MHC class I (PMID: 17678538). Binding to  human NK cells prevents activation induced apoptosis and enhances cytolytic activity (PMID:16236125)"	"The CD8 antigen is a cell surface glycoprotein found on most cytotoxic T lymphocytes that mediates efficient cell-cell interactions within the immune system. The CD8 antigen acts as a coreceptor with the T-cell receptor on the T lymphocyte to recognize antigens displayed by an antigen presenting cell in the context of class I MHC molecules. The coreceptor functions as either a homodimer composed of two alpha chains or as a heterodimer composed of one alpha and one beta chain. Both alpha and beta chains share significant homology to immunoglobulin variable light chains. This gene encodes the CD8 alpha chain. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2011]"	"CD8A (CD8a Molecule) is a Protein Coding gene. Diseases associated with CD8A include Cd8 Deficiency, Familial and Herpes Zoster. Among its related pathways are Hematopoietic cell lineage and T-Cell Receptor and Co-stimulatory Signaling. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and coreceptor activity."	"Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses. In T-cells, functions primarily as a coreceptor for MHC class I molecule:peptide complex. The antigens presented by class I peptides are derived from cytosolic proteins while class II derived from extracellular proteins. Interacts simultaneously with the T-cell receptor (TCR) and the MHC class I proteins presented by antigen presenting cells (APCs). In turn, recruits the Src kinase LCK to the vicinity of the TCR-CD3 complex. LCK then initiates different intracellular signaling pathways by phosphorylating various substrates ultimately leading to lymphokine production, motility, adhesion and activation of cytotoxic T-lymphocytes (CTLs). This mechanism enables CTLs to recognize and eliminate infected cells and tumor cells. In NK-cells, the presence of CD8A homodimers at the cell surface provides a survival mechanism allowing conjugation and lysis of multiple target cells. CD8A homodimer molecules also promote the survival and differentiation of activated lymphocytes into memory CD8 T-cells. CD8A_HUMAN,P01732"
CD8B	CD8	Tumor Infiltrating Lymphocytes (TILs)	Cytotoxic T-cells/T-regs		"CD8 is encoded by two distinct genes, CD8α and CD8β, and is expressed on the surface of T cells primarily as a CD8αβ heterodimer (PMID:17145893). Heterodimeric CD8αβ has consistently been shown to be a better coreceptor than homodimeric CD8αα and correlates with enhanced sensitivity to peptide antigen (PMID:17145893). In addition upregulation of CD8β is a TIL marker (PMID: 30387832)"	"The CD8 antigen is a cell surface glycoprotein found on most cytotoxic T lymphocytes that mediates efficient cell-cell interactions within the immune system. The CD8 antigen, acting as a coreceptor, and the T-cell receptor on the T lymphocyte recognize antigens displayed by an antigen presenting cell (APC) in the context of class I MHC molecules. The functional coreceptor is either a homodimer composed of two alpha chains, or a heterodimer composed of one alpha and one beta chain. Both alpha and beta chains share significant homology to immunoglobulin variable light chains. This gene encodes the CD8 beta chain isoforms. Multiple alternatively spliced transcript variants encoding distinct membrane associated or secreted isoforms have been described. A pseudogene, also located on chromosome 2, has been identified. [provided by RefSeq, May 2010]"	CD8B (CD8b Molecule) is a Protein Coding gene. Diseases associated with CD8B include Mucinous Stomach Adenocarcinoma. Among its related pathways are Hematopoietic cell lineage and Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters. Gene Ontology (GO) annotations related to this gene include coreceptor activity and MHC class I protein binding. An important paralog of this gene is CD8B2.	"Integral membrane glycoprotein that plays an essential role in the immune response and serves multiple functions in responses against both external and internal offenses. In T-cells, functions primarily as a coreceptor for MHC class I molecule:peptide complex. The antigens presented by class I peptides are derived from cytosolic proteins while class II derived from extracellular proteins. Interacts simultaneously with the T-cell receptor (TCR) and the MHC class I proteins presented by antigen presenting cells (APCs). In turn, recruits the Src kinase LCK to the vicinity of the TCR-CD3 complex. A palmitoylation site in the cytoplasmic tail of CD8B chain contributes to partitioning of CD8 into the plasma membrane lipid rafts where signaling proteins are enriched. Once LCK recruited, it initiates different intracellular signaling pathways by phosphorylating various substrates ultimately leading to lymphokine production, motility, adhesion and activation of cytotoxic T-lymphocytes (CTLs). Additionally, plays a critical role in thymic selection of CD8+ T-cells. CD8B_HUMAN,P10966"
CD80	CD80	T-cell Primed	Unknown		"CD80 is surface glycoprotein and a member of the immunoglobulin superfamily (IgSF). CD80 and CD86 share their ligands on T-cells and are expressed on antigen presenting cells,  bind the T-cell receptors CD28 and CTLA-4, and trigger signals for optimal T-cell activation (PMID: 7545666; DOI: 10.1158/0008-5472)"	"The protein encoded by this gene is a membrane receptor that is activated by the binding of CD28 or CTLA-4. The activated protein induces T-cell proliferation and cytokine production. This protein can act as a receptor for adenovirus subgroup B and may play a role in lupus neuropathy. [provided by RefSeq, Aug 2011]"	CD80 (CD80 Molecule) is a Protein Coding gene. Diseases associated with CD80 include Vaccinia and Lymphocytic Choriomeningitis. Among its related pathways are Th1 Differentiation Pathway and Downstream signaling events of B Cell Receptor (BCR). Gene Ontology (GO) annotations related to this gene include coreceptor activity. An important paralog of this gene is CD86.	"Involved in the costimulatory signal essential for T-lymphocyte activation. T-cell proliferation and cytokine production is induced by the binding of CD28, binding to CTLA-4 has opposite effects and inhibits T-cell activation. (Microbial infection) Acts as a receptor for adenovirus subgroup B."
CD86	CD86	T-cell Primed	Unknown		CD86 is surface glycoprotein and a member of the immunoglobulin superfamily (IgSF) and is expressed on APCs (along with CD80) and functions as a ligand for CTLA-4 and CD28 (PMID: 23911524). The affinity for CTLA-4 is higher than CD28 leading to inhibiting co-stimulatory signals (PMID: 31102428; PMID:16920215)	"This gene encodes a type I membrane protein that is a member of the immunoglobulin superfamily. This protein is expressed by antigen-presenting cells, and it is the ligand for two proteins at the cell surface of T cells, CD28 antigen and cytotoxic T-lymphocyte-associated protein 4. Binding of this protein with CD28 antigen is a costimulatory signal for activation of the T-cell. Binding of this protein with cytotoxic T-lymphocyte-associated protein 4 negatively regulates T-cell activation and diminishes the immune response. Alternative splicing results in several transcript variants encoding different isoforms.[provided by RefSeq, May 2011]"	CD86 (CD86 Molecule) is a Protein Coding gene. Diseases associated with CD86 include Acute Myocarditis and Myocarditis. Among its related pathways are Th1 Differentiation Pathway and Downstream signaling events of B Cell Receptor (BCR). Gene Ontology (GO) annotations related to this gene include signaling receptor binding and coreceptor activity. An important paralog of this gene is CD80.	"Receptor involved in the costimulatory signal essential for T-lymphocyte proliferation and interleukin-2 production, by binding CD28 or CTLA-4. May play a critical role in the early events of T-cell activation and costimulation of naive T-cells, such as deciding between immunity and anergy that is made by T-cells within 24 hours after activation. Isoform 2 interferes with the formation of CD86 clusters, and thus acts as a negative regulator of T-cell activation. (Microbial infection) Acts as a receptor for adenovirus subgroup B."
CSF1R	CSF1R	Myeloid Suppression	Immunosuppressive	"CSF1R, macrophage colony-stimulating factor 1 receptor, is a tyrosine kinase and receptor for CSF1 and IL34, which upon ligand binding activates PI3K-AKT-mTOR, RAS-RAF-MEK-ERK and STAT signaling pathways (PMID: 22186992). CSF1R is expressed by tumor-associated macrophages to induce tumor promotion (PMID: 30065206) and therefore, a number of therapies to block Csf1r are under development (PMID: 28716061)."	"CSF1R, macrophage colony-stimulating factor 1 receptor, is a tyrosine kinase and receptor for CSF1 and IL34, which upon ligand binding activates PI3K-AKT-mTOR, RAS-RAF-MEK-ERK and STAT signaling pathways (PMID: 22186992). CSF1R is expressed by tumor-associated macrophages to induce tumor promotion (PMID: 30065206)"	"The protein encoded by this gene is the receptor for colony stimulating factor 1, a cytokine which controls the production, differentiation, and function of macrophages. This receptor mediates most if not all of the biological effects of this cytokine. Ligand binding activates the receptor kinase through a process of oligomerization and transphosphorylation. The encoded protein is a tyrosine kinase transmembrane receptor and member of the CSF1/PDGF receptor family of tyrosine-protein kinases. Mutations in this gene have been associated with a predisposition to myeloid malignancy. The first intron of this gene contains a transcriptionally inactive ribosomal protein L7 processed pseudogene oriented in the opposite direction. Alternative splicing results in multiple transcript variants. Expression of a splice variant from an LTR promoter has been found in Hodgkin lymphoma (HL), HL cell lines and anaplastic large cell lymphoma. [provided by RefSeq, Mar 2017]"	"CSF1R (Colony Stimulating Factor 1 Receptor) is a Protein Coding gene. Diseases associated with CSF1R include Leukoencephalopathy, Hereditary Diffuse, With Spheroids and Brain Abnormalities, Neurodegeneration, And Dysosteosclerosis. Among its related pathways are Hematopoietic cell lineage and ERK Signaling. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and protein kinase activity. An important paralog of this gene is KIT."	"Tyrosine-protein kinase that acts as cell-surface receptor for CSF1 and IL34 and plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes. Promotes the release of proinflammatory chemokines in response to IL34 and CSF1, and thereby plays an important role in innate immunity and in inflammatory processes. Plays an important role in the regulation of osteoclast proliferation and differentiation, the regulation of bone resorption, and is required for normal bone and tooth development. Required for normal male and female fertility, and for normal development of milk ducts and acinar structures in the mammary gland during pregnancy. Promotes reorganization of the actin cytoskeleton, regulates formation of membrane ruffles, cell adhesion and cell migration, and promotes cancer cell invasion. Activates several signaling pathways in response to ligand binding. Phosphorylates PIK3R1, PLCG2, GRB2, SLA2 and CBL. Activation of PLCG2 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate, that then lead to the activation of protein kinase C family members, especially PRKCD. Phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, leads to activation of the AKT1 signaling pathway. Activated CSF1R also mediates activation of the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1, and of the SRC family kinases SRC, FYN and YES1. Activated CSF1R transmits signals both via proteins that directly interact with phosphorylated tyrosine residues in its intracellular domain, or via adapter proteins, such as GRB2. Promotes activation of STAT family members STAT3, STAT5A and/or STAT5B. Promotes tyrosine phosphorylation of SHC1 and INPP5D/SHIP-1. Receptor signaling is down-regulated by protein phosphatases, such as INPP5D/SHIP-1, that dephosphorylate the receptor and its downstream effectors, and by rapid internalization of the activated receptor."
CTAG1B	NY-ESO-1	Cancer Testis Antigens	Unknown	"CTAG1B, cancer/testis antigen 1B, encodes for a cancer testis antigen that is normally expressed on male germ cells and may play a role in the regulation of gene expression (PMID: 15715909, PMID: 22936067). CTAG1B expression has been observed in liposarcomas (PMID: 22936067)."	"CTAG1B, cancer/testis antigen 1B, encodes for a cancer testis antigen that is normally expressed on male germ cells and may play a role in the regulation of gene expression (PMID: 15715909, PMID: 22936067). CTAG1B plays a key role in tumor invasion and metastasis (PMID: 30122941)"	"The protein encoded by this gene is an antigen that is overexpressed in many cancers but that is also expressed in normal testis. This gene is found in a duplicated region of the X-chromosome and therefore has a neighboring gene of identical sequence. [provided by RefSeq, Jan 2012]"	"CTAG1B (Cancer/Testis Antigen 1B) is a Protein Coding gene. Diseases associated with CTAG1B include Testicular Cancer and Sarcoma, Synovial. An important paralog of this gene is CTAG1A."	
