gene_name,oncogenicCategory,editor,edit_date
PPP2R2A,Neither,loader,2020-04-22-17-43-59-821600
PPP6C,Tumor Suppressor Gene,loader,2020-04-22-17-44-04-628983
PRDM1,Tumor Suppressor Gene,loader,2020-04-22-17-44-07-861600
PREX2,Oncogene,loader,2020-04-22-17-44-09-895513
PRKAR1A,Both,loader,2020-04-22-17-44-11-781902
PRKCI,Neither,loader,2020-04-22-17-44-14-424098
PRKDC,Neither,loader,2020-04-22-17-44-22-546540
PRKN,Neither,loader,2020-04-22-17-42-08-606693
PRSS8,Neither,loader,2020-04-22-17-44-26-092043
PTCH1,Tumor Suppressor Gene,loader,2020-04-22-17-44-28-886585
PTEN,Tumor Suppressor Gene,loader,2020-04-22-17-44-32-765768
PTPN11,Oncogene,loader,2020-04-22-17-44-35-933766
PTPRD,Tumor Suppressor Gene,loader,2020-04-22-17-44-38-619505
PTPRS,Neither,loader,2020-04-22-17-44-42-777254
PTPRT,Tumor Suppressor Gene,loader,2020-04-22-17-44-45-759330
PVR,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-15-641447
QKI,Both,loader,2020-04-22-17-44-50-117185
RAB35,Neither,loader,2020-04-22-17-44-52-091742
RAC1,Oncogene,loader,2020-04-22-17-44-55-166320
RAD21,Both,loader,2020-04-22-17-44-59-030592
RAD50,Tumor Suppressor Gene,loader,2020-04-22-17-45-02-264238
RAD51,Tumor Suppressor Gene,loader,2020-04-22-17-45-06-241489
RAD51B,Tumor Suppressor Gene,loader,2020-04-22-17-45-08-183709
RAD51C,Tumor Suppressor Gene,loader,2020-04-22-17-45-10-796616
RAD51D,Tumor Suppressor Gene,loader,2020-04-22-17-45-12-651435
RAD52,Tumor Suppressor Gene,loader,2020-04-22-17-45-14-876119
RAD54L,Tumor Suppressor Gene,loader,2020-04-22-17-45-16-226123
RAF1,Oncogene,loader,2020-04-22-17-45-19-864201
RANBP2,Tumor Suppressor Gene,loader,2020-04-22-17-45-27-557615
RARA,Oncogene,loader,2020-04-22-17-45-32-340841
RASA1,Neither,loader,2020-04-22-17-45-34-657154
RB1,Tumor Suppressor Gene,loader,2020-04-22-17-45-38-599917
RBM10,Tumor Suppressor Gene,loader,2020-04-22-17-45-41-174730
RECQL4,Both,loader,2020-04-22-17-45-44-230481
REL,Oncogene,loader,2020-04-22-17-45-46-121289
RET,Oncogene,loader,2020-04-22-17-45-50-647811
RHEB,Oncogene,loader,2020-04-22-17-45-55-081463
RHOA,Oncogene,loader,2020-04-22-17-46-02-447964
RICTOR,Oncogene,loader,2020-04-22-17-46-05-118443
RIT1,Neither,loader,2020-04-22-17-46-07-370765
RNF43,Tumor Suppressor Gene,loader,2020-04-22-17-46-11-032494
ROS1,Oncogene,loader,2020-04-22-17-46-13-370828
RPS6KA4,Neither,loader,2020-04-22-17-46-15-077837
RPS6KB1,Oncogene,loader,2020-04-22-17-46-23-325895
RPS6KB2,Neither,loader,2020-04-22-17-46-26-827619
RPTOR,Neither,loader,2020-04-22-17-46-29-013545
RUNX1,Both,loader,2020-04-22-17-46-34-227017
RUNX1T1,Both,loader,2020-04-22-17-46-38-521405
RYBP,Neither,loader,2020-04-22-17-46-44-957048
SDHA,Tumor Suppressor Gene,loader,2020-04-22-17-46-48-100294
SDHAF2,Tumor Suppressor Gene,loader,2020-04-22-17-46-50-268208
SDHB,Tumor Suppressor Gene,loader,2020-04-22-17-46-52-148005
SDHC,Tumor Suppressor Gene,loader,2020-04-22-17-46-54-270619
SDHD,Tumor Suppressor Gene,loader,2020-04-22-17-46-57-366016
SETBP1,Tumor Suppressor Gene,loader,2020-04-22-17-46-59-551242
SETD2,Tumor Suppressor Gene,loader,2020-04-22-17-47-07-392201
SF3B1,Oncogene,loader,2020-04-22-17-47-12-787255
SH2B3,Tumor Suppressor Gene,loader,2020-04-22-17-47-15-053528
SH2D1A,Neither,loader,2020-04-22-17-47-18-143287
SHQ1,Neither,loader,2020-04-22-17-47-20-053484
SLIT2,Neither,loader,2020-04-22-17-47-22-526911
SLX4,Tumor Suppressor Gene,loader,2020-04-22-17-47-25-558385
SMAD2,Tumor Suppressor Gene,loader,2020-04-22-17-47-28-628296
SMAD3,Tumor Suppressor Gene,loader,2020-04-22-17-47-31-333998
SMAD4,Tumor Suppressor Gene,loader,2020-04-22-17-47-34-021246
SMARCA4,Tumor Suppressor Gene,loader,2020-04-22-17-47-36-348964
SMARCB1,Tumor Suppressor Gene,loader,2020-04-22-17-47-39-312852
SMARCD1,Tumor Suppressor Gene,loader,2020-04-22-17-47-43-632860
SMC1A,Tumor Suppressor Gene,loader,2020-04-22-17-47-46-453401
SMC3,Neither,loader,2020-04-22-17-47-49-866391
SMO,Oncogene,loader,2020-04-22-17-47-51-881736
SNCAIP,Neither,loader,2020-04-22-17-47-53-885324
SOCS1,Tumor Suppressor Gene,loader,2020-04-22-17-47-56-766690
SOX10,Neither,loader,2020-04-22-17-48-00-270411
SOX17,Neither,loader,2020-04-22-17-48-02-264700
SOX2,Oncogene,loader,2020-04-22-17-48-04-486864
SOX9,Neither,loader,2020-04-22-17-48-07-494995
SPEN,Tumor Suppressor Gene,loader,2020-04-22-17-48-09-887608
SPOP,Oncogene,loader,2020-04-22-17-48-12-634061
SPTA1,Neither,loader,2020-04-22-17-48-15-095948
SRC,Oncogene,loader,2020-04-22-17-48-22-128012
SRSF2,Oncogene,loader,2020-04-22-17-48-25-384625
SSX2,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-18-429416
STAG1,Tumor Suppressor Gene,loader,2020-04-22-17-48-26-952760
STAG2,Tumor Suppressor Gene,loader,2020-04-22-17-48-29-982740
STAT1,Neither,loader,2020-04-22-17-48-33-968059
STAT3,Oncogene,loader,2020-04-22-17-48-42-732593
STAT4,Neither,loader,2020-04-22-17-48-45-439715
STAT5A,Neither,loader,2020-04-22-17-48-48-555505
STAT5B,Both,loader,2020-04-22-17-48-50-530383
STK11,Tumor Suppressor Gene,loader,2020-04-22-17-48-53-589899
STK40,Neither,loader,2020-04-22-17-48-55-260837
SUFU,Tumor Suppressor Gene,loader,2020-04-22-17-49-02-267344
SUZ12,Both,loader,2020-04-22-17-49-06-024470
SYK,Oncogene,loader,2020-04-22-17-49-09-985128
TAF1,Neither,loader,2020-04-22-17-49-14-911534
TBX21,Neither,loader,2020-04-22-17-49-18-700183
TBX3,Both,loader,2020-04-22-17-49-21-416218
TCF3,Both,loader,2020-04-22-17-49-25-149767
TCF7L2,Oncogene,loader,2020-04-22-17-49-28-633558
TENT5C,Neither,loader,2020-04-22-17-30-39-389430
TERC,Neither,loader,2020-04-22-17-49-29-434730
TERT,Oncogene,loader,2020-04-22-17-49-32-629084
TET1,Both,loader,2020-04-22-17-49-35-712357
TET2,Tumor Suppressor Gene,loader,2020-04-22-17-49-38-984539
TFE3,Oncogene,loader,2020-04-22-17-49-41-964091
TFRC,Neither,loader,2020-04-22-17-49-44-522612
TGFB1,Neither,loader,2020-04-22-17-49-47-462782
TGFBR1,Neither,loader,2020-04-22-17-49-49-958806
TGFBR2,Tumor Suppressor Gene,loader,2020-04-22-17-49-52-160955
TIAF1,Oncogene,loader,2020-04-22-17-49-54-328600
TIGIT,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-22-733289
TLR7,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-27-172338
TLR8,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-36-396851
TLR9,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-41-056731
TMEM127,Tumor Suppressor Gene,loader,2020-04-22-17-49-56-356129
TMPRSS2,Neither,loader,2020-04-22-17-49-59-977618
TNF,Neither,loader,2020-04-22-17-50-04-127358
TNFAIP3,Tumor Suppressor Gene,loader,2020-04-22-17-50-07-143997
TNFRSF14,Tumor Suppressor Gene,loader,2020-04-22-17-50-10-193803
TNFRSF18,Neither,loader,2020-04-22-17-50-11-869053
TNFRSF4,Neither,loader,2020-04-22-17-50-13-390373
TNFRSF9,Neither,loader,2020-04-22-17-50-15-449278
TNFSF4,Neither,loader,2020-04-22-17-50-18-320728
TOP1,Oncogene,loader,2020-04-22-17-50-20-380331
TOP2A,Neither,loader,2020-04-22-17-50-24-007816
TP53,Tumor Suppressor Gene,loader,2020-04-22-17-50-30-548240
TP63,Both,loader,2020-04-22-17-50-33-168692
TRAF2,Neither,loader,2020-04-22-17-50-35-826636
TRAF7,Tumor Suppressor Gene,loader,2020-04-22-17-50-38-751558
TSC1,Tumor Suppressor Gene,loader,2020-04-22-17-50-44-164328
TSC2,Tumor Suppressor Gene,loader,2020-04-22-17-50-48-425736
TSHR,Oncogene,loader,2020-04-22-17-50-52-010155
U2AF1,Oncogene,loader,2020-04-22-17-50-53-665166
VEGFA,Neither,loader,2020-04-22-17-50-56-224755
VHL,Tumor Suppressor Gene,loader,2020-04-22-17-50-59-543631
VSIR,Neither,loader,2020-04-22-17-24-16-087225
VTCN1,Neither,loader,2020-04-22-17-51-01-899951
WT1,Tumor Suppressor Gene,loader,2020-04-22-17-51-08-629547
XIAP,Neither,loader,2020-04-22-17-51-11-270556
XPO1,Oncogene,loader,2020-04-22-17-51-13-853760
XRCC2,Neither,loader,2020-04-22-17-51-16-245875
YAP1,Neither,loader,2020-04-22-17-51-22-744782
YES1,Neither,loader,2020-04-22-17-51-24-989080
ZBTB2,Neither,loader,2020-04-22-17-51-27-618083
ZBTB7A,Neither,loader,2020-04-22-17-51-32-126539
ZFHX3,Tumor Suppressor Gene,loader,2020-04-22-17-51-37-225639
ZNF217,Oncogene,loader,2020-04-22-17-51-39-284104
ZNF703,Neither,loader,2020-04-22-17-51-41-228273
ZRSR2,Tumor Suppressor Gene,loader,2020-04-22-17-51-42-801078
