gene_name,synonymsString,editor,edit_date
FLI1,FLI1,loader,2020-04-19-15-53-07-334732
FLT1,FLT1,loader,2020-04-19-15-53-09-140373
FLT3,FLT3,loader,2020-04-19-15-53-10-737123
FLT4,FLT4,loader,2020-04-19-15-53-13-057793
FOXA1,FOXA1,loader,2020-04-19-15-53-14-538511
FOXL2,FOXL2,loader,2020-04-19-15-53-16-665843
FOXO1,FOXO1,loader,2020-04-19-15-53-18-221740
FOXP1,FOXP1,loader,2020-04-19-15-53-22-500791
FOXP3,FOXP3,loader,2020-04-19-15-53-25-777610
FRS2,FRS2,loader,2020-04-19-15-53-27-131727
FUBP1,FUBP1,loader,2020-04-19-15-53-28-431938
FYN,FYN,loader,2020-04-19-15-53-30-019526
GABRA6,GABRA6,loader,2020-04-19-15-53-31-057306
GAS6,GAS6,loader,2020-04-19-15-53-32-565520
GATA1,GATA1,loader,2020-04-19-15-53-34-231409
GATA2,GATA2,loader,2020-04-19-15-53-36-351028
GATA3,GATA3,loader,2020-04-19-15-53-37-701024
GATA4,GATA4,loader,2020-04-19-15-53-41-745315
GATA6,GATA6,loader,2020-04-19-15-53-44-949666
GEN1,GEN1,loader,2020-04-19-15-53-47-550818
GID4,GID4,loader,2020-04-19-15-53-49-251023
GLI1,GLI1,loader,2020-04-19-15-53-52-765012
GNA11,GNA11,loader,2020-04-19-15-53-54-106062
GNA13,GNA13,loader,2020-04-19-15-53-57-944879
GNAQ,GNAQ,loader,2020-04-19-15-54-00-046932
GNAS,GNAS,loader,2020-04-19-15-54-01-342467
GPS2,GPS2,loader,2020-04-19-15-54-07-820667
GREM1,GREM1,loader,2020-04-19-15-54-09-488848
GRIN2A,GRIN2A,loader,2020-04-19-15-54-12-033822
GRM3,GRM3,loader,2020-04-19-15-54-13-288706
GSK3B,GSK3B,loader,2020-04-19-15-54-16-621238
GZMB,GZMB,loader,2020-04-19-15-54-18-030432
H1-2,HIST1H1C,loader,2020-04-19-15-54-32-392156
H2BC5,HIST1H2BD,loader,2020-04-19-15-54-33-653562
H3-3A,H3F3A,loader,2020-04-19-15-54-19-510664
H3-3B,H3F3B,loader,2020-04-19-15-54-21-105849
H3-4,HIST3H3,loader,2020-04-19-15-54-55-578025
H3-5,H3F3C,loader,2020-04-19-15-54-22-322785
H3C1,HIST1H3A,loader,2020-04-19-15-54-35-286121
H3C10,HIST1H3H,loader,2020-04-19-15-54-45-919124
H3C11,HIST1H3I,loader,2020-04-19-15-54-47-713573
H3C12,HIST1H3J,loader,2020-04-19-15-54-49-422029
H3C13,HIST2H3D,loader,2020-04-19-15-54-54-329622
H3C14,HIST2H3C,loader,2020-04-19-15-54-52-843929
H3C15,HIST2H3A,loader,2020-04-19-15-54-50-819610
H3C2,HIST1H3B,loader,2020-04-19-15-54-37-884504
H3C6,HIST1H3E,loader,2020-04-19-15-54-40-871742
H3C7,HIST1H3F,loader,2020-04-19-15-54-42-587832
H3C8,HIST1H3G,loader,2020-04-19-15-54-44-313076
HAVCR2,HAVCR2,loader,2020-04-19-15-54-28-831570
HGF,HGF,loader,2020-04-19-15-54-30-581578
HLA-A,HLA-A,loader,2020-04-19-15-55-03-747252
HNF1A,HNF1A,loader,2020-04-19-15-55-07-433346
HNRNPK,HNRNPK,loader,2020-04-19-15-55-09-620012
HOXB13,HOXB13,loader,2020-04-19-15-55-11-092051
HRAS,HRAS,loader,2020-04-19-15-55-14-274054
HSD3B1,HSD3B1,loader,2020-04-19-15-55-15-524369
HSP90AA1,HSP90AA1,loader,2020-04-19-15-55-21-520877
ICOS,ICOS,loader,2020-04-19-15-55-22-993861
ICOSLG,ICOSLG,loader,2020-04-19-15-55-24-142250
ID3,ID3,loader,2020-04-19-15-55-25-733175
IDH1,IDH1,loader,2020-04-19-15-55-27-439002
IDH2,IDH2,loader,2020-04-19-15-55-28-848346
IDO1,IDO1,loader,2020-04-19-15-55-32-700330
IFITM1,IFITM1,loader,2020-04-19-15-55-34-152613
IFITM3,IFITM3,loader,2020-04-19-15-55-35-314850
IFNG,IFNG,loader,2020-04-19-15-55-36-901703
IFNGR1,IFNGR1,loader,2020-04-19-15-55-40-424097
IGF1,IGF1,loader,2020-04-19-15-55-44-695223
IGF1R,IGF1R,loader,2020-04-19-15-55-47-219484
IGF2,IGF2,loader,2020-04-19-15-55-49-474181
IKBKE,IKBKE,loader,2020-04-19-15-55-51-169903
IKZF1,IKZF1,loader,2020-04-19-15-55-53-694781
IL10,IL10,loader,2020-04-19-15-55-57-332713
IL1B,IL1B,loader,2020-04-19-15-55-59-930985
IL6,IL6,loader,2020-04-19-15-56-01-822220
IL7R,IL7R,loader,2020-04-19-15-56-03-619775
INHA,INHA,loader,2020-04-19-15-56-04-783018
INHBA,INHBA,loader,2020-04-19-15-56-06-175058
INPP4A,INPP4A,loader,2020-04-19-15-56-08-684980
INPP4B,INPP4B,loader,2020-04-19-15-56-10-874445
INSR,INSR,loader,2020-04-19-15-56-14-938474
IRF2,IRF2,loader,2020-04-19-15-56-17-137068
IRF4,IRF4,loader,2020-04-19-15-56-18-403510
IRS1,IRS1,loader,2020-04-19-15-56-20-457884
IRS2,IRS2,loader,2020-04-19-15-56-22-407509
JAK1,JAK1,loader,2020-04-19-15-56-24-730034
JAK2,JAK2,loader,2020-04-19-15-56-28-124380
JAK3,JAK3,loader,2020-04-19-15-56-29-820066
JUN,JUN,loader,2020-04-19-15-56-32-896175
KAT6A,KAT6A,loader,2020-04-19-15-56-34-479865
KDM5A,KDM5A,loader,2020-04-19-15-56-36-867586
KDM5C,KDM5C,loader,2020-04-19-15-56-38-765855
KDM6A,KDM6A,loader,2020-04-19-15-56-41-294398
KDR,KDR,loader,2020-04-19-15-56-43-824756
KEAP1,KEAP1,loader,2020-04-19-15-56-53-022023
KEL,KEL,loader,2020-04-19-15-56-54-544173
KIF5B,KIF5B,loader,2020-04-19-15-56-56-187160
KIT,KIT,loader,2020-04-19-15-56-58-546355
KLF4,KLF4,loader,2020-04-19-15-56-59-916930
KLHL6,KLHL6,loader,2020-04-19-15-57-00-978780
KLRD1,KLRD1,loader,2020-04-19-15-57-02-184624
KMT2A,MLL,loader,2020-04-19-15-58-17-198726
KMT2B,KMT2B,loader,2020-04-19-15-57-03-869477
KMT2C,KMT2C,loader,2020-04-19-15-57-05-698006
KMT2D,KMT2D,loader,2020-04-19-15-57-07-671091
KNSTRN,KNSTRN,loader,2020-04-19-15-57-11-058127
KRAS,KRAS,loader,2020-04-19-15-57-14-840488
LAG3,LAG3,loader,2020-04-19-15-57-16-348691
LAMP1,LAMP1,loader,2020-04-19-15-57-17-647859
LATS1,LATS1,loader,2020-04-19-15-57-19-278805
LATS2,LATS2,loader,2020-04-19-15-57-20-574528
LMO1,LMO1,loader,2020-04-19-15-57-21-640842
LRP1B,LRP1B,loader,2020-04-19-15-57-23-111020
LYN,LYN,loader,2020-04-19-15-57-25-054406
LZTR1,LZTR1,loader,2020-04-19-15-57-27-542949
MAGEA1,MAGEA1,Carrie.Hoefer@omniseq.com,2020-04-19-19-09-51-425652
MAGEA3,MAGEA3,Carrie.Hoefer@omniseq.com,2020-04-19-19-09-54-129674
MAGEA4,MAGEA4,Carrie.Hoefer@omniseq.com,2020-04-19-19-09-56-555155
MAGI2,MAGI2,loader,2020-04-19-15-57-28-912052
MAGOH,MAGOH,loader,2020-04-19-15-57-31-060800
MALT1,MALT1,loader,2020-04-19-15-57-32-497996
MAP2K1,MAP2K1,loader,2020-04-19-15-57-34-696651
MAP2K2,MAP2K2,loader,2020-04-19-15-57-36-654827
MAP2K4,MAP2K4,loader,2020-04-19-15-57-38-060461
MAP3K1,MAP3K1,loader,2020-04-19-15-57-39-741775
MAP3K13,MAP3K13,loader,2020-04-19-15-57-41-173526
MAP3K4,MAP3K4,loader,2020-04-19-15-57-42-861456
MAPK1,MAPK1,loader,2020-04-19-15-57-45-127738
MAPK3,MAPK3,loader,2020-04-19-15-57-47-050179
MAX,MAX,loader,2020-04-19-15-57-48-459377
MCL1,MCL1,loader,2020-04-19-15-57-50-071266
MDC1,MDC1,loader,2020-04-19-15-57-51-895865
MDM2,MDM2,loader,2020-04-19-15-57-58-844472
MDM4,MDM4,loader,2020-04-19-15-58-00-551390
MED12,MED12,loader,2020-04-19-15-58-01-933802
MEF2B,MEF2B,loader,2020-04-19-15-58-02-980522
MEN1,MEN1,loader,2020-04-19-15-58-05-120936
MET,MET,loader,2020-04-19-15-58-07-375268
MGA,MGA,loader,2020-04-19-15-58-08-899492
MITF,MITF,loader,2020-04-19-15-58-10-432826
MLH1,MLH1,loader,2020-04-19-15-58-13-205906
MLLT3,MLLT3,loader,2020-04-19-15-58-20-965196
MPL,MPL,loader,2020-04-19-15-58-22-642218
MRE11,MRE11A,loader,2020-04-19-15-58-25-858321
MS4A1,MS4A1,loader,2020-04-19-15-58-27-969065
MSH2,MSH2,loader,2020-04-19-15-58-30-949574
MSH3,MSH3,loader,2020-04-19-15-58-32-253197
MSH6,MSH6,loader,2020-04-19-15-58-34-351197
MST1,MST1,loader,2020-04-19-15-58-35-733054
MST1R,MST1R,loader,2020-04-19-15-58-37-315725
MTOR,MTOR,loader,2020-04-19-15-58-48-283982
MUTYH,MUTYH,loader,2020-04-19-15-58-50-572592
MX1,MX1,loader,2020-04-19-15-58-52-192972
MYB,MYB,loader,2020-04-19-15-58-53-810470
MYC,MYC,loader,2020-04-19-15-58-56-244005
MYCL,MYCL1,loader,2020-04-19-15-58-58-385682
MYCL,MYCL1,loader,2020-04-19-15-58-58-385682
MYCN,MYCN,loader,2020-04-19-15-58-59-667139
MYD88,MYD88,loader,2020-04-19-15-59-02-929893
MYO18A,MYO18A,loader,2020-04-19-15-59-06-878330
MYOD1,MYOD1,loader,2020-04-19-15-59-08-590681
NAB2,NAB2,loader,2020-04-19-15-59-09-756851
NBN,NBN,loader,2020-04-19-15-59-11-482263
NCOA3,NCOA3,loader,2020-04-19-15-59-12-986859
NCOR1,NCOR1,loader,2020-04-19-15-59-15-033712
NECTIN2,NECTIN2,Carrie.Hoefer@omniseq.com,2020-04-19-19-10-00-347734
NEGR1,NEGR1,loader,2020-04-19-15-59-16-084578
NF1,NF1,loader,2020-04-19-15-59-18-238192
NF2,NF2,loader,2020-04-19-15-59-20-066445
NFE2L2,NFE2L2,loader,2020-04-19-15-59-24-111872
NFKBIA,NFKBIA,loader,2020-04-19-15-59-25-846957
NKX2-1,NKX2-1,loader,2020-04-19-15-59-27-230621
NKX2-8,NKX2-8,loader,2020-04-19-15-59-28-229455
NKX3-1,NKX3-1,loader,2020-04-19-15-59-29-422265
NOTCH1,NOTCH1,loader,2020-04-19-15-59-31-668117
NOTCH2,NOTCH2,loader,2020-04-19-15-59-35-879745
NOTCH3,NOTCH3,loader,2020-04-19-15-59-38-838700
NOTCH4,NOTCH4,loader,2020-04-19-15-59-40-750613
NPM1,NPM1,loader,2020-04-19-15-59-43-549750
NRAS,NRAS,loader,2020-04-19-15-59-46-126575
NRG1,NRG1,loader,2020-04-19-15-59-48-623947
NSD1,NSD1,loader,2020-04-19-15-59-50-047590
NTRK1,NTRK1,loader,2020-04-19-15-59-53-336304
NTRK2,NTRK2,loader,2020-04-19-15-59-56-389382
NTRK3,NTRK3,loader,2020-04-19-15-59-58-367070
NUP93,NUP93,loader,2020-04-19-15-59-59-944659
NUTM1,NUTM1,loader,2020-04-19-16-00-01-200201
PAK1,PAK1,loader,2020-04-19-16-00-09-241804
PAK3,PAK3,loader,2020-04-19-16-00-10-726578
PAK5,PAK7,loader,2020-04-19-16-00-12-157338
PALB2,PALB2,loader,2020-04-19-16-00-16-442257
PARP1,PARP1,loader,2020-04-19-16-00-35-466221
PAX3,PAX3,loader,2020-04-19-16-00-37-712564
PAX5,PAX5,loader,2020-04-19-16-00-39-426712
PAX7,PAX7,loader,2020-04-19-16-00-40-590888
PAX8,PAX8,loader,2020-04-19-16-00-41-854645
PBRM1,PBRM1,loader,2020-04-19-16-00-43-747669
PDCD1,PDCD1,loader,2020-04-19-16-00-45-557209
PDCD1LG2,PDCD1LG2,loader,2020-04-19-16-00-46-661027
PDGFRA,PDGFRA,loader,2020-04-19-16-00-48-871326
PDGFRB,PDGFRB,loader,2020-04-19-16-00-51-016770
PDK1,PDK1,loader,2020-04-19-16-00-52-307119
PDPK1,PDPK1,loader,2020-04-19-16-00-54-292115
PGR,PGR,loader,2020-04-19-16-00-56-202146
PHF6,PHF6,loader,2020-04-19-16-00-57-680586
PHOX2B,PHOX2B,loader,2020-04-19-16-00-58-871175
PIK3C2B,PIK3C2B,loader,2020-04-19-16-01-00-430680
PIK3C2G,PIK3C2G,loader,2020-04-19-16-01-01-595723
PIK3C3,PIK3C3,loader,2020-04-19-16-01-03-705416
PIK3CA,PIK3CA,loader,2020-04-19-16-01-06-341899
PIK3CB,PIK3CB,loader,2020-04-19-16-01-07-696666
PIK3CD,PIK3CD,loader,2020-04-19-16-01-09-411318
PIK3CG,PIK3CG,loader,2020-04-19-16-01-11-103592
PIK3R1,PIK3R1,loader,2020-04-19-16-01-14-239880
PIK3R2,PIK3R2,loader,2020-04-19-16-01-16-184508
PIK3R3,PIK3R3,loader,2020-04-19-16-01-17-374301
PIM1,PIM1,loader,2020-04-19-16-01-19-226416
PLCG2,PLCG2,loader,2020-04-19-16-01-20-531846
PLK2,PLK2,loader,2020-04-19-16-01-22-297522
PMAIP1,PMAIP1,loader,2020-04-19-16-01-23-469744
PMS1,PMS1,loader,2020-04-19-16-01-24-677978
PMS2,PMS2,loader,2020-04-19-16-01-26-282179
PNP,PNP,loader,2020-04-19-16-01-28-148556
PNRC1,PNRC1,loader,2020-04-19-16-01-29-218644
POLD1,POLD1,loader,2020-04-19-16-01-33-064032
POLE,POLE,loader,2020-04-19-16-01-35-672400
PPARG,PPARG,loader,2020-04-19-16-01-38-497832
PPM1D,PPM1D,loader,2020-04-19-16-01-41-470389
PPP2R1A,PPP2R1A,loader,2020-04-19-16-01-43-545409
PPP2R2A,PPP2R2A,loader,2020-04-19-16-01-44-767829
PPP6C,PPP6C,loader,2020-04-19-16-01-48-487046
PRDM1,PRDM1,loader,2020-04-19-16-01-50-664933
PREX2,PREX2,loader,2020-04-19-16-01-51-944445
PRKAR1A,PRKAR1A,loader,2020-04-19-16-01-53-535093
PRKCI,PRKCI,loader,2020-04-19-16-01-55-551551
PRKDC,PRKDC,loader,2020-04-19-16-02-01-785220
PRKN,PARK2,loader,2020-04-19-16-00-26-983939
PRSS8,PRSS8,loader,2020-04-19-16-02-03-366671
PTCH1,PTCH1,loader,2020-04-19-16-02-05-064372
